username,published_at,comment
@firdachoirunnisa9873,2025-03-17T11:43:04Z,Klo agencynya aja udah toxic gimana artisnya (KSH) 😔😔😔😔
@aulianazhar4521,2025-03-17T09:27:42Z,Dari awal dia main di dream high pada booming ksh..jujur gak suka sama ni aktor dr awal dia muncul..dan gak pernah nonton filmnya....
@VerikaAudrey,2025-03-17T08:38:32Z,Kim sae ron...padahal kalau hijrah jadi artis ke indo sebulan bisa bayar sepertinya...
@RahmaWati-ef3xy,2025-03-17T07:51:32Z,"Kok bisa yah orang orang dulu nyangka kimsaeron caper ke ksh. Padahal ada foto kyk bitu aja udah ngebuka setengah cerira nya gimna. Apalagi shippernya qot tuh, gila sih."
@syifaalhakim3006,2025-03-17T07:22:11Z,"tp kenapa ya keluarganya terkesan diem aja selama sae ron pcrn sm kim soohyun? 
pdhl kan msh dibawah umur, kenapa ga ngasitau knp ga ngelarang? 
kyk aneh aja keluarganya baru mojokin orglain, dan terkesan support saeron stlh saeron udah gak ada. 
kmrin-kmrin pas masih ada tuh gimana? saeron kan tulang punggung keluarga, yakin gak ada tekanan dr situ jg kah? 
just my opinion ya."
@dewachannel2770,2025-03-17T07:20:07Z,"Saeron cantik banget ya...bibirnya seksi. Sayang banget dia jatuh ke tangan yg salah, sehingga mengalami tragedi hidup yg pahit, yg membuatnya hrs mengakhiri semuanya di usia yg sangat muda, dengan cara yang menyedihkan."
@evelynluciana1263,2025-03-17T04:56:22Z,"Saya ingin tahu dari mas hansol, apa yang saya baca benar mengenai kabar ini yaitu?

1. kabarnya kim sae ron hamil umur 16 th terus diaborsi demi karier mereka.

Pendapat saya:
mustinya ksh yang jauh lebih tua bisa mengendalikan diri dan tidak merusak cewek yang masih dibawah umur dan tidak mau bertanggung jawab.
Kasihan kim sae ron yang tidak punya standard moral yang kuat karena kebanyakan artis minim standard moral dan

2.  kim sae ron masih mendapat kerasnya sikap ksh yang tidak memperbolehkan won bin untuk bantu bayar hutang dan mengharuskan ksr untuk bayar hutang sendiri.

Pendapat saya:
Mungkin pikir ksh, ksr musti bertanggung jawab atas tindakannya sendiri (pendapatku sendiri), tapi apakah ksh bertanggung jawab atas tindakannya menghamili ksr.

3. Belum lagi telepon ksr tidak dijawab oleh ksh.

Pendapat saya:
Jadi apa yang terjadi pada ksr adalah sesuatu yang kejam, keras dan dingin karena sebelumnya dia sudah menyerahkan dirinya kepada ksh.
Bagi seorang gadis muda itu semua membuatnya terpukul.

4. Kim soo hyun membayar agar seo ye jin diberitakan buruk sehingga seo ye jin keluar dari agensi gold medalist.

Harap diberitahu apa berita ini benar."
@Netta_Saleem,2025-03-17T04:34:43Z,"Dari sejak awal usai mendiang tutup.usia trus banyak fakta bertebaran dan nyimak netijen indo yg plesiran via X, IG, Tiktok dan yutup saya langsung menyimpulkan bahwa mendiang selama ini menjafi korban child grooming oleh orang yg manipulatif yg notabene punya power berduit juga sehingga dg mudah menjatuhkan nama si korban dg memFraming media agar semua kesalahan dilimpahkan pada korban bahkan gerak geriknyayg selqlu diikuti jelas menunjukkan bahwa pelaku sengaja melakukan itu untuk membunuh karakter  korban dg terus menghujaninya dg berbagai tuduhan tiada henti agar mental korban makin down. Selain itu korban pun twlah dieksploitasi saat bekerja tanpa dikasih upah bahkan kobdisi mentalnya terus menerus ditekan tanpa jeda. Dan ini merupakan sebuah bentuk kejahatan yg tidak bisa ditolerir dan pelaku seperti memiliki ciri npd😪dan selama ini pelaku menggunakan metode smear campaign hingga berakibat fatal pada korban yg mengakhiri hidup"
@littlemomproudly,2025-03-17T03:19:55Z,kasian banget ternyata 😢😢
@aubeirawan,2025-03-17T01:46:52Z,Drakor nyata... KSH kSh.. ttnyata kau tak smanis didrakor2mu..
